date;marketplace;brand;campaign_type;impressions;clicks;orders;spend
2025-06-05;Lamoda;ДетиПоносят;Каталог;31269;2357;209;94280
2025-06-19;Ozon;ДетиНосят;Авто-реклама;100349;5822;837;256168
2025-10-13;Яндекс Маркет;ДетиПоносят;Поиск;24559;538;22;31742
2025-03-29;Ozon;ДетиНосят;Каталог;71562;1853;256;140828
2025-01-19;Lamoda;ДетиПоносят;Каталог;75735;5304;634;323544
2025-07-06;Яндекс Маркет;ДетиНеВыносят;Авто-реклама;134827;7126;224;534450
2025-08-01;Яндекс Маркет;ДетиНеВыносят;Брендовая реклама;9016;582;47;28518
2025-08-03;Ozon;ДетиПоносят;Брендовая реклама;142809;3998;317;111944
2025-12-01;Lamoda;ДетиНосят;Продвижение карточки;73355;3653;345;171691
2025-05-08;Ozon;ДетиНосят;Брендовая реклама;80195;3606;528;212754
2025-09-15;Ozon;ДетиНеВыносят;Поиск;91812;1152;151;26496
2025-05-25;Яндекс Маркет;ДетиНосят;Авто-реклама;188297;12341;488;234479
2025-04-09;Яндекс Маркет;ДетиПоносят;Продвижение карточки;177491;5623;484;213674
2025-08-30;Lamoda;ДетиНосят;Брендовая реклама;166222;3169;441;234506
2025-09-05;Ozon;ДетиНосят;Поиск;72244;4460;251;151640
2025-10-26;Lamoda;ДетиНосят;Поиск;57024;2893;400;75218
2025-09-24;Lamoda;ДетиНеВыносят;Брендовая реклама;126807;3302;486;184912
2025-12-16;Яндекс Маркет;ДетиНосят;Каталог;188758;6025;415;439825
2025-09-18;Яндекс Маркет;ДетиНосят;Авто-реклама;196772;15655;1302;1205435
2025-09-19;Ozon;ДетиПоносят;Брендовая реклама;12991;248;8;12152
2025-08-23;Lamoda;ДетиНосят;Каталог;190937;3721;332;238144
2025-01-23;Wildberries;ДетиНеВыносят;Продвижение карточки;87717;5265;333;168480
2025-06-02;Яндекс Маркет;ДетиПоносят;Авто-реклама;94901;4797;671;191880
2025-05-19;Яндекс Маркет;ДетиНосят;Брендовая реклама;166663;6861;284;295023
2025-07-20;Lamoda;ДетиНеВыносят;Авто-реклама;60975;2248;253;44960
2025-04-22;Wildberries;ДетиНосят;Поиск;189582;11118;1152;300186
2025-03-23;Wildberries;ДетиНосят;Брендовая реклама;59177;839;49;10068
2025-08-31;Wildberries;ДетиНеВыносят;Каталог;148233;7229;446;397595
2025-06-15;Wildberries;ДетиНеВыносят;Авто-реклама;119331;2888;131;101080
2025-03-27;Яндекс Маркет;ДетиНеВыносят;Продвижение карточки;178214;2526;181;133878
2025-02-21;Ozon;ДетиПоносят;Поиск;106738;8276;443;571044
2025-12-19;Яндекс Маркет;ДетиНосят;Авто-реклама;101065;5794;716;150644
2025-09-24;Wildberries;ДетиНосят;Брендовая реклама;147609;2609;351;26090
2025-06-18;Ozon;ДетиНосят;Каталог;139500;5702;681;102636
2025-04-26;Яндекс Маркет;ДетиПоносят;Продвижение карточки;125801;4639;649;269062
2025-01-13;Wildberries;ДетиНосят;Брендовая реклама;100931;2908;144;87240
2025-08-25;Ozon;ДетиНосят;Авто-реклама;173291;9523;678;152368
2025-02-20;Lamoda;ДетиНеВыносят;Продвижение карточки;19113;581;80;17430
2025-12-07;Wildberries;ДетиНосят;Брендовая реклама;26980;1031;50;68046
2025-07-31;Яндекс Маркет;ДетиПоносят;Поиск;119207;1548;191;74304
2025-05-21;Яндекс Маркет;ДетиНосят;Каталог;123731;7011;833;357561
2025-05-27;Яндекс Маркет;ДетиНосят;Каталог;195838;5526;500;381294
2025-06-14;Яндекс Маркет;ДетиНосят;Авто-реклама;96569;4675;330;201025
2025-09-03;Lamoda;ДетиНеВыносят;Поиск;198614;2919;145;166383
2025-02-04;Ozon;ДетиНеВыносят;Поиск;28095;1436;136;114880
2025-04-27;Wildberries;ДетиПоносят;Авто-реклама;152823;6557;917;137697
2025-10-17;Ozon;ДетиНеВыносят;Каталог;153065;9042;853;434016
2025-03-30;Wildberries;ДетиПоносят;Каталог;159118;10989;687;142857
2025-04-14;Яндекс Маркет;ДетиНеВыносят;Брендовая реклама;48280;1227;108;44172
2025-01-11;Яндекс Маркет;ДетиНеВыносят;Каталог;122589;5484;815;219360
2025-12-19;Lamoda;ДетиНосят;Поиск;37530;723;86;35427
2025-03-18;Wildberries;ДетиНеВыносят;Авто-реклама;4558;290;36;23200
2025-07-06;Ozon;ДетиНосят;Каталог;77139;2600;141;54600
2025-01-10;Яндекс Маркет;ДетиПоносят;Поиск;134987;3481;209;236708
2025-10-26;Ozon;ДетиНеВыносят;Брендовая реклама;94336;6161;839;486719
2025-09-30;Wildberries;ДетиНеВыносят;Брендовая реклама;111211;5890;786;418190
2025-04-04;Lamoda;ДетиНосят;Поиск;50681;2937;211;234960
2025-10-06;Wildberries;ДетиНеВыносят;Каталог;112239;5726;646;332108
2025-09-04;Ozon;ДетиНеВыносят;Каталог;51052;1933;199;112114
2025-05-17;Ozon;ДетиНосят;Брендовая реклама;14536;954;55;73458
2025-05-11;Яндекс Маркет;ДетиНеВыносят;Продвижение карточки;187843;14217;1941;568680
2025-03-30;Ozon;ДетиНосят;Поиск;100644;5277;788;269127
2025-11-25;Ozon;ДетиПоносят;Брендовая реклама;39364;680;74;22440
2025-07-14;Ozon;ДетиПоносят;Поиск;122390;8784;610;140544
2025-10-24;Яндекс Маркет;ДетиНеВыносят;Каталог;100275;5199;503;129975
2025-01-26;Lamoda;ДетиПоносят;Продвижение карточки;9267;511;46;37303
2025-12-06;Ozon;ДетиПоносят;Каталог;14251;1003;38;33099
2025-06-12;Яндекс Маркет;ДетиНеВыносят;Поиск;120225;2812;140;224960
2025-02-03;Wildberries;ДетиНеВыносят;Каталог;199814;2974;420;148700
2025-03-25;Яндекс Маркет;ДетиПоносят;Продвижение карточки;8852;316;24;12008
2025-09-25;Lamoda;ДетиНеВыносят;Брендовая реклама;158769;3515;189;137085
2025-06-06;Lamoda;ДетиНеВыносят;Авто-реклама;152868;5917;424;473360
2025-03-18;Lamoda;ДетиНеВыносят;Каталог;140782;9357;1165;177783
2025-10-27;Wildberries;ДетиНеВыносят;Брендовая реклама;72916;3802;136;140674
2025-07-07;Ozon;ДетиНеВыносят;Каталог;160187;2817;341;200007
2025-03-28;Яндекс Маркет;ДетиПоносят;Поиск;129339;6354;457;177912
2025-07-20;Wildberries;ДетиНосят;Поиск;177576;12216;1100;549720
2025-02-21;Яндекс Маркет;ДетиНеВыносят;Продвижение карточки;27376;1850;222;68450
2025-04-07;Wildberries;ДетиНосят;Брендовая реклама;127474;3939;369;295425
2025-03-15;Wildberries;ДетиНосят;Продвижение карточки;128742;5451;358;196236
2025-05-25;Lamoda;ДетиНеВыносят;Авто-реклама;99152;1254;117;20064
2025-08-30;Wildberries;ДетиПоносят;Продвижение карточки;49185;3737;449;100899
2025-04-16;Яндекс Маркет;ДетиНосят;Каталог;76320;1043;64;81354
2025-08-25;Ozon;ДетиПоносят;Каталог;59787;4494;167;233688
2025-10-31;Ozon;ДетиНосят;Поиск;94169;3811;464;80031
2025-06-27;Lamoda;ДетиНосят;Поиск;68035;4237;205;114399
2025-11-05;Lamoda;ДетиПоносят;Авто-реклама;135273;3120;421;124800
2025-12-11;Ozon;ДетиНосят;Продвижение карточки;132039;9265;562;453985
2025-02-28;Lamoda;ДетиПоносят;Каталог;82790;5532;786;425964
2025-05-06;Wildberries;ДетиНеВыносят;Брендовая реклама;151136;10077;1044;352695
2025-06-14;Ozon;ДетиПоносят;Авто-реклама;131521;6746;333;505950
2025-12-06;Ozon;ДетиНеВыносят;Поиск;129419;8388;634;511668
2025-09-01;Яндекс Маркет;ДетиНосят;Каталог;129727;3134;282;147298
2025-03-10;Lamoda;ДетиНосят;Брендовая реклама;28890;2163;165;30282
2025-06-04;Ozon;ДетиНосят;Каталог;190440;11808;1364;791136
2025-01-01;Lamoda;ДетиПоносят;Брендовая реклама;126399;6282;476;163332
2025-02-23;Lamoda;ДетиНосят;Брендовая реклама;91204;5355;269;176715
2025-07-09;Wildberries;ДетиНосят;Брендовая реклама;171952;13081;1629;680212
2025-01-09;Lamoda;ДетиПоносят;Брендовая реклама;83427;4773;252;138417
2025-08-16;Wildberries;ДетиНеВыносят;Авто-реклама;165747;9805;1080;539275
2025-04-05;Ozon;ДетиНеВыносят;Продвижение карточки;163723;10909;588;327270
2025-01-15;Яндекс Маркет;ДетиПоносят;Брендовая реклама;138598;10903;482;599665
2025-12-19;Ozon;ДетиНосят;Авто-реклама;187294;4928;258;364672
2025-04-03;Lamoda;ДетиНеВыносят;Брендовая реклама;190955;6750;851;519750
2025-12-17;Ozon;ДетиНеВыносят;Поиск;18033;990;78;37620
2025-05-23;Wildberries;ДетиНеВыносят;Авто-реклама;61749;2953;277;115167
2025-12-23;Ozon;ДетиНосят;Каталог;36097;372;48;5208
2025-10-13;Ozon;ДетиПоносят;Брендовая реклама;163125;3698;420;232974
2025-08-21;Яндекс Маркет;ДетиПоносят;Брендовая реклама;149687;7905;795;577065
2025-03-17;Lamoda;ДетиНеВыносят;Каталог;103683;2557;317;125293
2025-11-14;Яндекс Маркет;ДетиНосят;Брендовая реклама;117597;7561;351;173903
2025-07-15;Wildberries;ДетиНеВыносят;Авто-реклама;140338;6957;577;97398
2025-12-29;Ozon;ДетиНеВыносят;Поиск;11091;185;8;14060
2025-09-08;Lamoda;ДетиНеВыносят;Продвижение карточки;183396;8469;711;533547
2025-02-19;Wildberries;ДетиНосят;Продвижение карточки;182117;7476;381;89712
2025-06-17;Ozon;ДетиНеВыносят;Продвижение карточки;166228;5361;218;182274
2025-12-15;Wildberries;ДетиНосят;Брендовая реклама;100289;1769;209;141520
2025-04-02;Яндекс Маркет;ДетиНосят;Поиск;22089;936;68;60840
2025-01-12;Яндекс Маркет;ДетиПоносят;Продвижение карточки;20183;1051;119;31530
2025-10-24;Wildberries;ДетиПоносят;Поиск;143921;1785;145;103530
2025-09-26;Яндекс Маркет;ДетиПоносят;Авто-реклама;60520;1901;276;152080
2025-08-24;Яндекс Маркет;ДетиНосят;Продвижение карточки;177054;9974;913;299220
2025-03-07;Ozon;ДетиНеВыносят;Авто-реклама;61600;4385;336;87700
2025-03-22;Lamoda;ДетиНеВыносят;Авто-реклама;48179;1518;195;34914
2025-04-11;Яндекс Маркет;ДетиНосят;Продвижение карточки;58969;1786;244;117876
2025-08-14;Ozon;ДетиПоносят;Каталог;75535;2836;124;110604
2025-06-22;Ozon;ДетиНосят;Брендовая реклама;56343;1654;179;34734
2025-02-20;Яндекс Маркет;ДетиНосят;Авто-реклама;5694;416;24;32032
2025-08-18;Wildberries;ДетиПоносят;Поиск;86046;5686;797;119406
2025-06-23;Wildberries;ДетиНеВыносят;Брендовая реклама;161780;10188;1409;376956
2025-03-25;Ozon;ДетиНеВыносят;Каталог;10697;252;16;2772
2025-07-10;Wildberries;ДетиПоносят;Каталог;29605;442;52;20332
2025-07-25;Яндекс Маркет;ДетиНеВыносят;Поиск;105164;6703;959;248011
2025-09-12;Wildberries;ДетиПоносят;Каталог;13809;739;47;37689
2025-10-12;Яндекс Маркет;ДетиПоносят;Каталог;183566;13514;1657;337850
2025-03-04;Wildberries;ДетиНосят;Авто-реклама;197172;7277;823;116432
2025-09-23;Ozon;ДетиНосят;Каталог;40788;2179;290;154709
2025-01-14;Яндекс Маркет;ДетиНосят;Авто-реклама;169460;6501;565;312048
2025-06-21;Wildberries;ДетиПоносят;Поиск;37384;1954;117;146550
2025-02-02;Wildberries;ДетиНеВыносят;Поиск;17066;703;50;34447
2025-09-18;Ozon;ДетиПоносят;Поиск;133019;5246;748;403942
2025-07-14;Wildberries;ДетиПоносят;Продвижение карточки;191142;11178;1335;447120
2025-04-06;Яндекс Маркет;ДетиПоносят;Поиск;191720;3363;181;127794
2025-09-15;Яндекс Маркет;ДетиНосят;Поиск;136471;8167;319;645193
2025-03-29;Ozon;ДетиПоносят;Продвижение карточки;88345;4236;551;258396
2025-03-14;Lamoda;ДетиНосят;Каталог;132133;2355;305;157785
2025-10-08;Яндекс Маркет;ДетиПоносят;Продвижение карточки;98847;7290;348;488430
2025-02-23;Ozon;ДетиНосят;Брендовая реклама;33254;860;64;37840
2025-09-23;Wildberries;ДетиНосят;Брендовая реклама;55679;2454;257;191412
2025-11-27;Lamoda;ДетиНеВыносят;Авто-реклама;179968;11054;924;331620
2025-09-14;Яндекс Маркет;ДетиНеВыносят;Авто-реклама;171681;2745;387;38430
2025-04-02;Lamoda;ДетиНосят;Авто-реклама;91496;2683;121;83173
2025-03-08;Wildberries;ДетиПоносят;Поиск;98858;7561;286;90732
2025-07-27;Яндекс Маркет;ДетиПоносят;Поиск;104820;5492;240;120824
2025-10-18;Яндекс Маркет;ДетиНеВыносят;Авто-реклама;27841;1012;129;67804
2025-02-23;Wildberries;ДетиНосят;Авто-реклама;43015;704;71;26752
2025-01-02;Яндекс Маркет;ДетиНеВыносят;Поиск;57805;3400;251;57800
2025-08-02;Ozon;ДетиНеВыносят;Продвижение карточки;69878;4833;270;91827
2025-07-18;Lamoda;ДетиНеВыносят;Авто-реклама;71770;4978;477;54758
2025-11-06;Lamoda;ДетиНосят;Брендовая реклама;167083;2321;75;146223
2025-05-12;Lamoda;ДетиНеВыносят;Брендовая реклама;105628;6989;409;195692
2025-08-25;Wildberries;ДетиНеВыносят;Поиск;13644;980;77;56840
2025-12-21;Wildberries;ДетиПоносят;Каталог;183187;3741;366;115971
2025-06-19;Яндекс Маркет;ДетиНосят;Поиск;163487;7414;1091;533808
2025-12-05;Wildberries;ДетиНосят;Каталог;112520;3667;328;179683
2025-07-19;Яндекс Маркет;ДетиНосят;Продвижение карточки;141020;10080;1120;302400
2025-08-07;Яндекс Маркет;ДетиПоносят;Продвижение карточки;170664;6293;904;421631
2025-05-21;Wildberries;ДетиНосят;Поиск;190614;9726;759;398766
2025-12-03;Ozon;ДетиПоносят;Каталог;31404;446;15;17840
2025-12-06;Lamoda;ДетиНосят;Каталог;105119;3336;256;70056
2025-08-20;Wildberries;ДетиНеВыносят;Авто-реклама;156838;11825;866;283800
2025-11-16;Wildberries;ДетиНосят;Брендовая реклама;124445;4701;614;136329
2025-07-26;Яндекс Маркет;ДетиНосят;Продвижение карточки;16351;437;24;22724
2025-09-17;Wildberries;ДетиПоносят;Брендовая реклама;166882;10802;993;810150
2025-02-28;Яндекс Маркет;ДетиНосят;Каталог;125646;3976;381;318080
2025-08-22;Ozon;ДетиПоносят;Брендовая реклама;2326;47;6;2209
2025-02-15;Ozon;ДетиНеВыносят;Каталог;131988;8300;367;514600
2025-12-12;Wildberries;ДетиНеВыносят;Каталог;49065;2626;320;178568
2025-07-22;Яндекс Маркет;ДетиПоносят;Поиск;135841;7149;543;550473
2025-04-05;Wildberries;ДетиНеВыносят;Брендовая реклама;154814;7849;661;423846
2025-05-24;Lamoda;ДетиПоносят;Поиск;73465;3161;171;34771
2025-09-04;Ozon;ДетиПоносят;Брендовая реклама;150000;5856;726;111264
2025-08-01;Яндекс Маркет;ДетиПоносят;Брендовая реклама;178203;11596;1717;173940
2025-06-11;Lamoda;ДетиНеВыносят;Продвижение карточки;79405;4571;394;100562
2025-10-02;Яндекс Маркет;ДетиПоносят;Продвижение карточки;127645;2374;277;123448
2025-01-16;Lamoda;ДетиНеВыносят;Поиск;14195;782;38;21114
2025-08-16;Ozon;ДетиНосят;Авто-реклама;164435;3743;250;160949
2025-07-19;Wildberries;ДетиНеВыносят;Продвижение карточки;40375;3157;283;164164
2025-02-28;Яндекс Маркет;ДетиПоносят;Продвижение карточки;38358;1659;223;33180
2025-08-16;Ozon;ДетиНеВыносят;Поиск;129232;5236;234;246092
2025-04-22;Wildberries;ДетиПоносят;Каталог;176304;7992;507;511488
2025-08-27;Wildberries;ДетиНосят;Каталог;124772;7651;545;504966
2025-07-22;Ozon;ДетиНосят;Продвижение карточки;144788;6862;710;260756
2025-01-24;Wildberries;ДетиНосят;Поиск;95001;5428;426;379960
2025-07-14;Wildberries;ДетиНеВыносят;Поиск;125858;4756;197;171216
2025-11-30;Wildberries;ДетиНеВыносят;Брендовая реклама;124722;8208;731;410400
2025-02-05;Ozon;ДетиПоносят;Продвижение карточки;124507;6409;250;153816
2025-10-08;Lamoda;ДетиПоносят;Поиск;92218;2328;215;186240
2025-03-19;Lamoda;ДетиНосят;Авто-реклама;78509;2937;380;76362
2025-09-10;Ozon;ДетиНеВыносят;Поиск;62826;3376;441;239696
2025-02-07;Lamoda;ДетиПоносят;Каталог;179223;3578;349;250460
2025-02-18;Wildberries;ДетиНеВыносят;Поиск;187959;6247;241;362326
2025-11-18;Lamoda;ДетиПоносят;Каталог;117692;9077;576;453850
2025-10-22;Ozon;ДетиНеВыносят;Каталог;73551;2636;337;50084
2025-11-06;Яндекс Маркет;ДетиНеВыносят;Брендовая реклама;63780;1640;219;55760
2025-07-15;Яндекс Маркет;ДетиНосят;Каталог;47405;1658;119;53056
2025-08-07;Wildberries;ДетиПоносят;Брендовая реклама;14406;927;118;51912
2025-06-24;Яндекс Маркет;ДетиНосят;Продвижение карточки;178903;10744;559;547944
2025-12-06;Wildberries;ДетиНеВыносят;Поиск;153698;4200;299;155400
2025-07-15;Яндекс Маркет;ДетиПоносят;Брендовая реклама;66799;1323;197;84672
2025-03-06;Ozon;ДетиНеВыносят;Брендовая реклама;60804;3169;173;164788
2025-06-26;Яндекс Маркет;ДетиПоносят;Каталог;155416;3963;529;237780
2025-03-27;Ozon;ДетиНосят;Продвижение карточки;41464;3262;357;32620
2025-06-12;Lamoda;ДетиНосят;Брендовая реклама;84287;3986;399;119580
2025-01-30;Lamoda;ДетиНеВыносят;Авто-реклама;77164;1196;175;58604
2025-09-23;Яндекс Маркет;ДетиНосят;Поиск;93844;7154;719;207466
2025-02-26;Wildberries;ДетиПоносят;Продвижение карточки;76666;3991;347;247442
2025-11-02;Wildberries;ДетиНеВыносят;Поиск;141586;7653;897;267855
2025-05-02;Lamoda;ДетиНосят;Авто-реклама;49480;1436;204;54568
2025-08-07;Wildberries;ДетиПоносят;Поиск;161364;10084;428;352940
2025-12-07;Wildberries;ДетиНеВыносят;Поиск;12329;596;26;42316
2025-09-30;Lamoda;ДетиНеВыносят;Каталог;151009;4429;542;115154
2025-05-15;Ozon;ДетиНеВыносят;Брендовая реклама;192915;3688;131;283976
2025-10-25;Lamoda;ДетиНеВыносят;Брендовая реклама;185876;3274;254;229180
2025-06-04;Lamoda;ДетиПоносят;Авто-реклама;76592;1393;79;72436
2025-03-23;Яндекс Маркет;ДетиНеВыносят;Поиск;125435;4191;448;67056
2025-01-02;Wildberries;ДетиПоносят;Каталог;106836;3979;508;286488
2025-11-30;Lamoda;ДетиПоносят;Авто-реклама;194349;3472;198;180544
2025-07-09;Wildberries;ДетиНеВыносят;Поиск;165494;2184;207;170352
2025-07-10;Lamoda;ДетиНеВыносят;Продвижение карточки;17292;738;24;36900
2025-07-08;Lamoda;ДетиНосят;Авто-реклама;21034;1334;155;56028
2025-04-07;Яндекс Маркет;ДетиНеВыносят;Продвижение карточки;26016;1145;164;38930
2025-06-30;Wildberries;ДетиНосят;Авто-реклама;110999;4655;668;283955
2025-01-29;Lamoda;ДетиПоносят;Брендовая реклама;47169;2973;113;217029
2025-04-25;Lamoda;ДетиПоносят;Продвижение карточки;18314;350;39;5950
2025-08-07;Wildberries;ДетиНосят;Авто-реклама;194143;14185;1718;609955
2025-11-21;Lamoda;ДетиПоносят;Продвижение карточки;44823;1130;134;23730
2025-04-18;Wildberries;ДетиПоносят;Брендовая реклама;95275;1482;212;74100
2025-04-04;Ozon;ДетиНеВыносят;Авто-реклама;44890;1879;163;28185
2025-08-09;Ozon;ДетиНосят;Брендовая реклама;115452;4789;161;306496
2025-10-17;Яндекс Маркет;ДетиНосят;Каталог;90783;6991;236;104865
2025-07-06;Wildberries;ДетиПоносят;Каталог;43435;735;55;57330
2025-10-12;Wildberries;ДетиНеВыносят;Продвижение карточки;77593;4439;201;44390
2025-07-21;Ozon;ДетиНеВыносят;Поиск;157687;2830;171;206590
2025-01-25;Ozon;ДетиНосят;Брендовая реклама;71165;2881;374;123883
2025-08-09;Lamoda;ДетиНосят;Продвижение карточки;164435;11630;1312;883880
2025-03-01;Ozon;ДетиНосят;Каталог;58194;2670;200;29370
2025-07-20;Lamoda;ДетиНеВыносят;Каталог;41586;2483;310;47177
2025-04-11;Ozon;ДетиНосят;Поиск;181411;3766;264;259854
2025-10-31;Wildberries;ДетиНеВыносят;Брендовая реклама;65886;4186;307;46046
2025-09-26;Wildberries;ДетиНеВыносят;Авто-реклама;118774;7347;715;242451
2025-11-29;Яндекс Маркет;ДетиНеВыносят;Поиск;124081;1536;65;86016
2025-03-27;Wildberries;ДетиНосят;Каталог;41035;1824;139;34656
2025-11-27;Ozon;ДетиНеВыносят;Поиск;39857;1965;196;53055
2025-05-10;Wildberries;ДетиНеВыносят;Продвижение карточки;180119;2594;137;197144
2025-11-27;Wildberries;ДетиНеВыносят;Поиск;139662;8066;550;548488
2025-08-01;Wildberries;ДетиПоносят;Брендовая реклама;176832;12798;536;127980
2025-06-02;Яндекс Маркет;ДетиНеВыносят;Брендовая реклама;12577;440;19;14960
2025-11-28;Lamoda;ДетиПоносят;Продвижение карточки;16470;625;40;44375
2025-03-02;Lamoda;ДетиПоносят;Брендовая реклама;110232;1437;211;37362
2025-06-10;Яндекс Маркет;ДетиПоносят;Брендовая реклама;102749;5657;775;384676
2025-08-14;Ozon;ДетиНеВыносят;Авто-реклама;113525;3572;154;253612
2025-01-01;Lamoda;ДетиНосят;Продвижение карточки;142917;10577;335;803852
2025-11-30;Lamoda;ДетиНеВыносят;Продвижение карточки;78371;1614;201;109752
2025-03-03;Яндекс Маркет;ДетиПоносят;Поиск;147907;7451;325;230981
2025-11-18;Wildberries;ДетиПоносят;Поиск;130584;3981;193;306537
2025-04-27;Wildberries;ДетиНосят;Продвижение карточки;193060;11577;1110;602004
2025-12-26;Lamoda;ДетиНосят;Продвижение карточки;37533;2055;169;86310
2025-10-09;Яндекс Маркет;ДетиПоносят;Брендовая реклама;70226;847;98;64372
2025-07-11;Lamoda;ДетиНеВыносят;Авто-реклама;199002;8624;1002;103488
2025-03-12;Lamoda;ДетиНосят;Продвижение карточки;106095;7482;779;179568
2025-06-12;Lamoda;ДетиПоносят;Брендовая реклама;102162;3446;465;51690
2025-07-21;Lamoda;ДетиНеВыносят;Авто-реклама;28269;1396;209;67008
2025-12-20;Ozon;ДетиНосят;Продвижение карточки;183599;8079;1120;193896
2025-08-07;Lamoda;ДетиНосят;Поиск;70300;728;82;21840
2025-01-26;Lamoda;ДетиПоносят;Поиск;18593;1473;54;82488
2025-10-18;Wildberries;ДетиНеВыносят;Авто-реклама;68939;1998;237;57942
2025-10-12;Ozon;ДетиНосят;Брендовая реклама;194524;9786;989;440370
2025-03-21;Lamoda;ДетиНосят;Каталог;55830;4053;408;64848
2025-10-23;Lamoda;ДетиНеВыносят;Продвижение карточки;140712;10123;1499;698487
2025-09-18;Lamoda;ДетиПоносят;Брендовая реклама;98709;4086;525;81720
2025-05-29;Lamoda;ДетиНеВыносят;Поиск;41010;2583;223;180810
2025-03-23;Wildberries;ДетиНосят;Продвижение карточки;66595;2730;221;49140
2025-03-29;Wildberries;ДетиПоносят;Авто-реклама;138608;2478;247;54516
2025-07-20;Lamoda;ДетиПоносят;Продвижение карточки;76412;4174;428;116872
2025-10-15;Wildberries;ДетиНеВыносят;Продвижение карточки;164383;3984;374;314736
2025-07-08;Ozon;ДетиНеВыносят;Авто-реклама;163827;10933;1168;459186
2025-01-10;Ozon;ДетиНосят;Поиск;107806;1310;128;74670
2025-07-08;Ozon;ДетиПоносят;Авто-реклама;122866;3019;275;190197
2025-05-04;Ozon;ДетиНеВыносят;Авто-реклама;102577;2034;277;81360
2025-03-06;Lamoda;ДетиНеВыносят;Авто-реклама;187483;5840;769;274480
2025-10-20;Wildberries;ДетиНосят;Продвижение карточки;70448;1013;89;70910
2025-12-17;Lamoda;ДетиПоносят;Каталог;11489;180;18;13140
2025-10-29;Ozon;ДетиНеВыносят;Авто-реклама;188818;5916;798;301716
2025-04-19;Яндекс Маркет;ДетиНеВыносят;Каталог;172449;8442;491;177282
2025-04-20;Яндекс Маркет;ДетиНеВыносят;Авто-реклама;194171;13638;1173;927384
2025-10-31;Lamoda;ДетиНосят;Поиск;11740;917;41;33929
2025-04-27;Яндекс Маркет;ДетиПоносят;Авто-реклама;11154;397;52;19453
2025-08-17;Wildberries;ДетиНосят;Продвижение карточки;26923;288;20;7200
2025-02-14;Ozon;ДетиНосят;Продвижение карточки;130031;9812;678;421916
