sku_id;article;sku_name;category;brand;supplier;collection;gender;season;color;size;cost_price;retail_price;commission_percent;logistics_cost;storage_cost;weight_g
28;ДЕТ-000028;Куртка демисезонная черный;Куртки;ДетиНеВыносят;ООО Текстиль Плюс;Premium;Унисекс;Лето;Черный;98;3897;8840.0;20;97;5;586
29;ДЕТ-000029;Куртка зимняя черный;Куртки;ДетиНеВыносят;ООО Текстиль Плюс;Casual;Унисекс;Лето;Черный;92;1865;5280.0;18;157;12;589
30;ДЕТ-000030;Пижама с принтом серый;Пижамы;ДетиПоносят;Fashion Group;Sport;Мальчики;Лето;Серый;104;1633;4380.0;15;192;11;771
31;ДЕТ-000031;Куртка мембранная розовый;Куртки;ДетиНеВыносят;ООО Текстиль Плюс;Premium;Унисекс;Осень;Розовый;86;1377;3590.0;20;129;36;1145
32;ДЕТ-000032;Комбинезон утепленный синий;Комбинезоны;ДетиНосят;Kids Factory;Sport;Мальчики;Осень;Синий;122;2075;5430.0;12;112;34;312
33;ДЕТ-000033;Худи оверсайз бежевый;Худи;ДетиНосят;Happy Textile;Casual;Девочки;Осень;Бежевый;110;2441;6610.0;10;129;30;581
34;ДЕТ-000034;Брюки спортивные бежевый;Штаны;ДетиПоносят;ООО Текстиль Плюс;Sport;Унисекс;Лето;Бежевый;92;2877;9610.0;20;119;26;1128
35;ДЕТ-000035;Футболка оверсайз зеленый;Футболки;ДетиПоносят;Happy Textile;Basic;Мальчики;Весна;Зеленый;86;3190;9320.0;10;100;20;1033
36;ДЕТ-000036;Футболка хлопковая серый;Футболки;ДетиПоносят;Happy Textile;Premium;Девочки;Осень;Серый;122;2324;7340.0;20;130;33;983
37;ДЕТ-000037;Пижама с принтом розовый;Пижамы;ДетиНосят;Kids Factory;Basic;Мальчики;Зима;Розовый;80;2518;8080.0;15;75;5;515
38;ДЕТ-000038;Брюки спортивные синий;Штаны;ДетиНосят;Happy Textile;Premium;Девочки;Лето;Синий;104;643;1830.0;20;163;37;321
39;ДЕТ-000039;Пижама с принтом черный;Пижамы;ДетиНосят;ООО Детский Мир;Sport;Мальчики;Лето;Черный;86;1429;3910.0;10;153;14;727
40;ДЕТ-000040;Пижама хлопковая бежевый;Пижамы;ДетиНеВыносят;ООО Детский Мир;Basic;Мальчики;Лето;Бежевый;128;3554;8670.0;18;249;7;262
41;ДЕТ-000041;Штаны утепленные розовый;Штаны;ДетиНосят;ООО Детский Мир;Casual;Мальчики;Осень;Розовый;122;2169;5960.0;20;209;31;1106
42;ДЕТ-000042;Футболка хлопковая синий;Футболки;ДетиНеВыносят;Happy Textile;Sport;Мальчики;Лето;Синий;116;2974;8570.0;15;188;5;778
43;ДЕТ-000043;Куртка зимняя белый;Куртки;ДетиНосят;Fashion Group;Casual;Девочки;Весна;Белый;134;904;2310.0;20;100;38;492
44;ДЕТ-000044;Брюки спортивные белый;Штаны;ДетиНосят;ООО Текстиль Плюс;Casual;Унисекс;Осень;Белый;116;3896;10890.0;15;94;15;683
45;ДЕТ-000045;Брюки спортивные розовый;Штаны;ДетиПоносят;Kids Factory;New;Девочки;Лето;Розовый;98;3753;8860.0;20;61;22;347
46;ДЕТ-000046;Брюки спортивные серый;Штаны;ДетиНосят;ООО Детский Мир;Basic;Девочки;Осень;Серый;122;3259;9300.0;15;126;19;400
47;ДЕТ-000047;Комбинезон хлопковый зеленый;Комбинезоны;ДетиПоносят;Happy Textile;Casual;Унисекс;Весна;Зеленый;80;1805;5380.0;18;233;36;324
48;ДЕТ-000048;Худи на молнии серый;Худи;ДетиНеВыносят;Happy Textile;New;Мальчики;Весна;Серый;140;3788;8410.0;18;236;21;829
49;ДЕТ-000049;Куртка мембранная белый;Куртки;ДетиНеВыносят;ООО Текстиль Плюс;Premium;Унисекс;Зима;Белый;86;2433;5400.0;12;185;22;658
50;ДЕТ-000050;Джоггеры красный;Штаны;ДетиНеВыносят;Happy Textile;New;Мальчики;Осень;Красный;140;1658;5670.0;12;91;26;586
51;ДЕТ-000051;Брюки спортивные серый;Штаны;ДетиНеВыносят;ООО Текстиль Плюс;Basic;Девочки;Зима;Серый;122;2080;6300.0;10;99;17;1188
52;ДЕТ-000052;Комбинезон демисезонный розовый;Комбинезоны;ДетиНосят;Happy Textile;Casual;Унисекс;Лето;Розовый;128;2631;8600.0;12;78;25;761
53;ДЕТ-000053;Куртка демисезонная бежевый;Куртки;ДетиНосят;ООО Детский Мир;New;Девочки;Весна;Бежевый;116;1792;5460.0;10;146;19;699
54;ДЕТ-000054;Комбинезон хлопковый синий;Комбинезоны;ДетиПоносят;Happy Textile;Premium;Унисекс;Лето;Синий;110;1357;4290.0;18;87;25;748
55;ДЕТ-000055;Комбинезон утепленный черный;Комбинезоны;ДетиНосят;Happy Textile;Casual;Унисекс;Осень;Черный;80;2481;5590.0;20;109;28;980
56;ДЕТ-000056;Куртка демисезонная белый;Куртки;ДетиНеВыносят;ООО Детский Мир;Basic;Мальчики;Зима;Белый;110;456;1060.0;12;248;5;336
57;ДЕТ-000057;Комбинезон утепленный белый;Комбинезоны;ДетиНеВыносят;Kids Factory;Sport;Мальчики;Осень;Белый;128;1003;2230.0;15;109;37;368
58;ДЕТ-000058;Футболка базовая зеленый;Футболки;ДетиПоносят;Fashion Group;Casual;Мальчики;Зима;Зеленый;92;2568;6730.0;20;107;18;1118
59;ДЕТ-000059;Пижама с принтом красный;Пижамы;ДетиНосят;Happy Textile;Sport;Мальчики;Весна;Красный;122;2942;9600.0;10;186;31;938
60;ДЕТ-000060;Куртка зимняя черный;Куртки;ДетиНеВыносят;Happy Textile;Sport;Унисекс;Осень;Черный;128;2924;8810.0;20;63;31;1115
61;ДЕТ-000061;Футболка оверсайз розовый;Футболки;ДетиНосят;Happy Textile;Casual;Девочки;Осень;Розовый;80;2986;7560.0;20;139;9;263
62;ДЕТ-000062;Брюки спортивные красный;Штаны;ДетиНеВыносят;Happy Textile;Premium;Девочки;Весна;Красный;128;1586;4830.0;15;127;26;1001
63;ДЕТ-000063;Куртка зимняя красный;Куртки;ДетиПоносят;Kids Factory;Basic;Девочки;Весна;Красный;104;671;1860.0;12;146;7;338
64;ДЕТ-000064;Куртка зимняя серый;Куртки;ДетиНеВыносят;Kids Factory;Casual;Унисекс;Зима;Серый;134;2846;8360.0;20;192;18;1144
65;ДЕТ-000065;Пижама хлопковая серый;Пижамы;ДетиПоносят;Fashion Group;Basic;Девочки;Весна;Серый;104;3011;9660.0;20;195;17;841
66;ДЕТ-000066;Худи оверсайз бежевый;Худи;ДетиНосят;Kids Factory;Casual;Унисекс;Зима;Бежевый;122;489;1550.0;18;119;5;805
67;ДЕТ-000067;Футболка базовая черный;Футболки;ДетиПоносят;ООО Детский Мир;Sport;Унисекс;Зима;Черный;110;1140;3580.0;15;144;7;426
68;ДЕТ-000068;Брюки спортивные зеленый;Штаны;ДетиПоносят;Fashion Group;Sport;Девочки;Осень;Зеленый;104;1733;5030.0;15;181;23;571
69;ДЕТ-000069;Футболка оверсайз розовый;Футболки;ДетиПоносят;Happy Textile;Premium;Мальчики;Зима;Розовый;92;1957;5180.0;15;147;7;656
70;ДЕТ-000070;Куртка зимняя розовый;Куртки;ДетиНеВыносят;Kids Factory;Casual;Унисекс;Лето;Розовый;110;484;1490.0;18;86;26;1072
71;ДЕТ-000071;Худи утепленное серый;Худи;ДетиПоносят;Kids Factory;New;Девочки;Лето;Серый;122;796;2450.0;12;137;39;721
72;ДЕТ-000072;Брюки спортивные зеленый;Штаны;ДетиНосят;Kids Factory;Premium;Мальчики;Лето;Зеленый;134;1175;3400.0;12;178;13;423
73;ДЕТ-000073;Комбинезон демисезонный розовый;Комбинезоны;ДетиНеВыносят;Fashion Group;Premium;Мальчики;Осень;Розовый;140;1941;4400.0;20;178;35;1004
74;ДЕТ-000074;Пижама с принтом розовый;Пижамы;ДетиНосят;ООО Текстиль Плюс;Sport;Унисекс;Зима;Розовый;80;896;1980.0;10;222;33;179
75;ДЕТ-000075;Худи утепленное черный;Худи;ДетиНосят;Happy Textile;Basic;Унисекс;Весна;Черный;92;3104;7100.0;18;169;21;993
76;ДЕТ-000076;Куртка мембранная черный;Куртки;ДетиПоносят;Fashion Group;Casual;Мальчики;Осень;Черный;140;1158;3390.0;20;72;12;871
77;ДЕТ-000077;Куртка мембранная синий;Куртки;ДетиНеВыносят;ООО Детский Мир;New;Мальчики;Зима;Синий;140;2939;10090.0;15;198;29;919
78;ДЕТ-000078;Пижама с принтом зеленый;Пижамы;ДетиНосят;ООО Детский Мир;New;Унисекс;Лето;Зеленый;116;3534;10570.0;12;171;29;397
79;ДЕТ-000079;Худи на молнии красный;Худи;ДетиНеВыносят;ООО Текстиль Плюс;Casual;Мальчики;Лето;Красный;116;3308;9140.0;10;224;12;740
80;ДЕТ-000080;Куртка мембранная серый;Куртки;ДетиНеВыносят;Kids Factory;Sport;Девочки;Лето;Серый;134;3526;8770.0;12;127;17;1111
81;ДЕТ-000081;Джоггеры серый;Штаны;ДетиНосят;Kids Factory;Sport;Девочки;Весна;Серый;104;1142;3850.0;20;103;8;1169
82;ДЕТ-000082;Пижама хлопковая красный;Пижамы;ДетиНосят;Fashion Group;Basic;Унисекс;Зима;Красный;104;2444;7500.0;18;146;9;521
83;ДЕТ-000083;Футболка оверсайз красный;Футболки;ДетиПоносят;Fashion Group;Sport;Мальчики;Зима;Красный;92;506;1480.0;15;78;37;264
84;ДЕТ-000084;Куртка мембранная красный;Куртки;ДетиНосят;Fashion Group;Casual;Унисекс;Лето;Красный;134;3264;9710.0;15;95;37;432
85;ДЕТ-000085;Футболка оверсайз синий;Футболки;ДетиНосят;ООО Текстиль Плюс;Basic;Девочки;Осень;Синий;98;1588;5370.0;20;126;16;405
86;ДЕТ-000086;Куртка демисезонная зеленый;Куртки;ДетиНеВыносят;ООО Текстиль Плюс;Sport;Мальчики;Весна;Зеленый;92;1766;5670.0;10;124;7;263
87;ДЕТ-000087;Пижама с принтом зеленый;Пижамы;ДетиПоносят;ООО Детский Мир;New;Девочки;Зима;Зеленый;80;1534;3710.0;12;246;20;154
88;ДЕТ-000088;Штаны утепленные синий;Штаны;ДетиНосят;Fashion Group;New;Унисекс;Весна;Синий;116;958;2270.0;12;176;22;1184
89;ДЕТ-000089;Куртка мембранная бежевый;Куртки;ДетиНосят;ООО Детский Мир;New;Мальчики;Лето;Бежевый;116;2157;7380.0;12;177;39;870
90;ДЕТ-000090;Куртка демисезонная синий;Куртки;ДетиНосят;ООО Детский Мир;Basic;Унисекс;Весна;Синий;92;1504;3360.0;20;148;34;871
91;ДЕТ-000091;Куртка зимняя серый;Куртки;ДетиНеВыносят;ООО Детский Мир;Sport;Мальчики;Зима;Серый;140;414;930.0;20;93;8;482
92;ДЕТ-000092;Футболка хлопковая бежевый;Футболки;ДетиНеВыносят;Kids Factory;New;Девочки;Весна;Бежевый;134;1797;5640.0;18;116;32;1152
93;ДЕТ-000093;Штаны утепленные синий;Штаны;ДетиПоносят;Fashion Group;Premium;Унисекс;Осень;Синий;80;3733;10200.0;15;86;15;428
94;ДЕТ-000094;Комбинезон утепленный бежевый;Комбинезоны;ДетиПоносят;ООО Текстиль Плюс;Basic;Мальчики;Лето;Бежевый;116;2087;6560.0;15;126;30;583
95;ДЕТ-000095;Куртка демисезонная розовый;Куртки;ДетиНосят;Happy Textile;Basic;Мальчики;Зима;Розовый;80;1013;2430.0;20;88;16;841
96;ДЕТ-000096;Худи утепленное синий;Худи;ДетиНосят;ООО Текстиль Плюс;Sport;Мальчики;Осень;Синий;116;1014;2610.0;18;159;26;211
97;ДЕТ-000097;Куртка зимняя красный;Куртки;ДетиНеВыносят;ООО Детский Мир;Sport;Девочки;Лето;Красный;98;1210;3390.0;20;118;33;1004
98;ДЕТ-000098;Пижама с принтом красный;Пижамы;ДетиПоносят;Fashion Group;Sport;Мальчики;Лето;Красный;80;2218;4930.0;12;166;34;907
99;ДЕТ-000099;Пижама хлопковая розовый;Пижамы;ДетиНосят;Kids Factory;Casual;Девочки;Осень;Розовый;98;3097;10680.0;18;75;28;203
100;ДЕТ-000100;Пижама с принтом розовый;Пижамы;ДетиНеВыносят;Happy Textile;Basic;Девочки;Осень;Розовый;104;2310;6280.0;20;152;38;568
101;ДЕТ-000101;Футболка базовая синий;Футболки;ДетиНеВыносят;Fashion Group;New;Мальчики;Осень;Синий;116;1448;4270.0;10;86;26;857
102;ДЕТ-000102;Футболка базовая синий;Футболки;ДетиПоносят;Kids Factory;Casual;Мальчики;Лето;Синий;134;776;2580.0;18;98;37;637
103;ДЕТ-000103;Куртка зимняя розовый;Куртки;ДетиПоносят;Happy Textile;Sport;Девочки;Осень;Розовый;92;2752;7370.0;18;87;14;727
104;ДЕТ-000104;Футболка хлопковая бежевый;Футболки;ДетиНеВыносят;ООО Текстиль Плюс;Basic;Мальчики;Зима;Бежевый;80;1415;4380.0;12;185;27;983
105;ДЕТ-000105;Худи оверсайз серый;Худи;ДетиНосят;ООО Текстиль Плюс;New;Девочки;Зима;Серый;86;1360;3140.0;20;147;38;449
106;ДЕТ-000106;Комбинезон демисезонный серый;Комбинезоны;ДетиНосят;ООО Детский Мир;Premium;Мальчики;Весна;Серый;140;3728;10430.0;15;129;25;1002
107;ДЕТ-000107;Пижама с принтом бежевый;Пижамы;ДетиНосят;ООО Детский Мир;New;Мальчики;Осень;Бежевый;92;2782;6490.0;10;55;15;860
108;ДЕТ-000108;Худи на молнии бежевый;Худи;ДетиПоносят;ООО Текстиль Плюс;New;Девочки;Весна;Бежевый;110;3487;11360.0;15;217;36;711
109;ДЕТ-000109;Куртка мембранная серый;Куртки;ДетиНеВыносят;Fashion Group;New;Мальчики;Весна;Серый;128;385;950.0;10;179;10;496
110;ДЕТ-000110;Комбинезон утепленный бежевый;Комбинезоны;ДетиНосят;Fashion Group;Basic;Унисекс;Весна;Бежевый;98;2317;7640.0;12;201;32;865
111;ДЕТ-000111;Штаны утепленные черный;Штаны;ДетиНеВыносят;ООО Текстиль Плюс;Sport;Девочки;Весна;Черный;80;776;2690.0;12;50;35;566
112;ДЕТ-000112;Джоггеры красный;Штаны;ДетиНеВыносят;Fashion Group;Premium;Унисекс;Осень;Красный;122;1043;2500.0;12;107;7;744
113;ДЕТ-000113;Комбинезон демисезонный розовый;Комбинезоны;ДетиНосят;Happy Textile;Premium;Девочки;Осень;Розовый;92;3288;10530.0;18;90;14;960
114;ДЕТ-000114;Комбинезон демисезонный зеленый;Комбинезоны;ДетиПоносят;Happy Textile;Sport;Девочки;Весна;Зеленый;128;1981;6090.0;20;131;39;943
115;ДЕТ-000115;Комбинезон утепленный черный;Комбинезоны;ДетиНеВыносят;Fashion Group;Basic;Мальчики;Осень;Черный;104;1105;2700.0;15;76;28;592
116;ДЕТ-000116;Пижама с принтом зеленый;Пижамы;ДетиНосят;Fashion Group;Premium;Мальчики;Лето;Зеленый;104;2120;5360.0;20;166;36;769
117;ДЕТ-000117;Комбинезон хлопковый серый;Комбинезоны;ДетиНосят;Kids Factory;Premium;Унисекс;Лето;Серый;134;3437;11530.0;12;179;29;979
118;ДЕТ-000118;Куртка демисезонная серый;Куртки;ДетиПоносят;Fashion Group;Basic;Мальчики;Лето;Серый;80;1409;3590.0;12;131;22;425
119;ДЕТ-000119;Брюки спортивные белый;Штаны;ДетиНосят;ООО Детский Мир;Sport;Унисекс;Лето;Белый;110;375;1160.0;15;207;32;442
120;ДЕТ-000120;Куртка демисезонная белый;Куртки;ДетиПоносят;Happy Textile;Premium;Девочки;Осень;Белый;80;1945;6710.0;20;213;8;196
121;ДЕТ-000121;Джоггеры синий;Штаны;ДетиНосят;Happy Textile;Sport;Мальчики;Весна;Синий;128;827;2620.0;12;104;17;370
122;ДЕТ-000122;Комбинезон утепленный синий;Комбинезоны;ДетиНеВыносят;ООО Текстиль Плюс;New;Мальчики;Зима;Синий;140;3240;9200.0;10;176;28;601
123;ДЕТ-000123;Пижама хлопковая серый;Пижамы;ДетиНосят;Kids Factory;Sport;Мальчики;Осень;Серый;92;3801;12190.0;20;112;30;450
124;ДЕТ-000124;Куртка демисезонная синий;Куртки;ДетиНеВыносят;Kids Factory;Premium;Девочки;Лето;Синий;104;3297;9210.0;10;99;9;490
125;ДЕТ-000125;Комбинезон утепленный зеленый;Комбинезоны;ДетиПоносят;ООО Текстиль Плюс;Basic;Унисекс;Зима;Зеленый;104;1335;4120.0;12;230;31;713
126;ДЕТ-000126;Футболка базовая бежевый;Футболки;ДетиНеВыносят;ООО Текстиль Плюс;Casual;Унисекс;Весна;Бежевый;140;1287;3310.0;20;169;36;1159
127;ДЕТ-000127;Худи на молнии розовый;Худи;ДетиПоносят;Kids Factory;Sport;Девочки;Осень;Розовый;80;1033;3000.0;10;185;30;707
128;ДЕТ-000128;Комбинезон утепленный черный;Комбинезоны;ДетиНосят;ООО Текстиль Плюс;Sport;Девочки;Зима;Черный;116;3239;10100.0;20;223;5;1030
129;ДЕТ-000129;Футболка базовая розовый;Футболки;ДетиНеВыносят;ООО Текстиль Плюс;Basic;Девочки;Осень;Розовый;128;3888;9390.0;15;156;28;767
130;ДЕТ-000130;Куртка мембранная бежевый;Куртки;ДетиНеВыносят;Fashion Group;Sport;Унисекс;Лето;Бежевый;140;3834;13120.0;12;125;17;358
131;ДЕТ-000131;Футболка базовая зеленый;Футболки;ДетиПоносят;Fashion Group;Sport;Унисекс;Осень;Зеленый;134;3240;8830.0;15;132;39;620
132;ДЕТ-000132;Куртка мембранная черный;Куртки;ДетиНосят;ООО Детский Мир;Premium;Девочки;Зима;Черный;98;1528;4830.0;20;193;20;595
133;ДЕТ-000133;Пижама хлопковая розовый;Пижамы;ДетиНеВыносят;Happy Textile;New;Унисекс;Зима;Розовый;86;2638;8460.0;15;78;5;234
134;ДЕТ-000134;Пижама хлопковая бежевый;Пижамы;ДетиНосят;ООО Текстиль Плюс;New;Девочки;Лето;Бежевый;86;1175;3900.0;12;193;12;562
135;ДЕТ-000135;Куртка зимняя красный;Куртки;ДетиНеВыносят;Happy Textile;New;Мальчики;Зима;Красный;134;3485;8900.0;10;139;19;1159
136;ДЕТ-000136;Брюки спортивные серый;Штаны;ДетиНеВыносят;Fashion Group;Casual;Девочки;Осень;Серый;86;1214;2810.0;12;134;23;788
137;ДЕТ-000137;Куртка зимняя синий;Куртки;ДетиПоносят;ООО Текстиль Плюс;Sport;Унисекс;Зима;Синий;104;699;2130.0;10;142;19;577
138;ДЕТ-000138;Пижама с принтом белый;Пижамы;ДетиПоносят;Kids Factory;New;Девочки;Весна;Белый;80;1719;4930.0;10;168;28;762
139;ДЕТ-000139;Комбинезон хлопковый красный;Комбинезоны;ДетиНеВыносят;ООО Детский Мир;Casual;Мальчики;Зима;Красный;104;420;1320.0;10;77;13;685
140;ДЕТ-000140;Футболка базовая белый;Футболки;ДетиНосят;ООО Детский Мир;Casual;Унисекс;Зима;Белый;134;2964;7520.0;12;135;21;336
141;ДЕТ-000141;Пижама с принтом синий;Пижамы;ДетиНосят;Kids Factory;Sport;Унисекс;Лето;Синий;86;790;2740.0;12;68;33;447
142;ДЕТ-000142;Штаны утепленные серый;Штаны;ДетиПоносят;Fashion Group;Premium;Унисекс;Осень;Серый;134;1038;3540.0;15;148;10;1148
143;ДЕТ-000143;Худи оверсайз зеленый;Худи;ДетиНеВыносят;ООО Детский Мир;Sport;Унисекс;Зима;Зеленый;128;1580;5030.0;10;245;40;150
144;ДЕТ-000144;Худи утепленное серый;Худи;ДетиНосят;ООО Текстиль Плюс;Basic;Девочки;Осень;Серый;80;2851;8830.0;15;174;25;520
145;ДЕТ-000145;Куртка зимняя синий;Куртки;ДетиНосят;ООО Текстиль Плюс;Basic;Девочки;Лето;Синий;128;651;2090.0;12;81;16;285
146;ДЕТ-000146;Худи оверсайз черный;Худи;ДетиНосят;Kids Factory;Sport;Девочки;Лето;Черный;116;400;1080.0;12;231;19;639
147;ДЕТ-000147;Комбинезон демисезонный белый;Комбинезоны;ДетиПоносят;Kids Factory;New;Унисекс;Лето;Белый;122;958;2660.0;10;74;14;1035
148;ДЕТ-000148;Штаны утепленные зеленый;Штаны;ДетиНеВыносят;ООО Текстиль Плюс;Casual;Унисекс;Осень;Зеленый;140;3442;9860.0;10;58;5;1132
149;ДЕТ-000149;Пижама с принтом синий;Пижамы;ДетиНеВыносят;Kids Factory;Basic;Мальчики;Весна;Синий;98;936;3070.0;10;250;25;511
150;ДЕТ-000150;Комбинезон хлопковый розовый;Комбинезоны;ДетиНеВыносят;ООО Текстиль Плюс;Casual;Мальчики;Осень;Розовый;128;1240;3960.0;10;167;11;351
151;ДЕТ-000151;Куртка демисезонная бежевый;Куртки;ДетиНосят;Happy Textile;New;Девочки;Зима;Бежевый;122;2624;6550.0;15;119;21;721
152;ДЕТ-000152;Штаны утепленные зеленый;Штаны;ДетиПоносят;Happy Textile;Casual;Девочки;Осень;Зеленый;134;569;1830.0;10;114;15;564
153;ДЕТ-000153;Комбинезон утепленный серый;Комбинезоны;ДетиНеВыносят;Fashion Group;New;Унисекс;Весна;Серый;134;3993;11700.0;20;224;25;1002
154;ДЕТ-000154;Футболка хлопковая белый;Футболки;ДетиПоносят;Happy Textile;Basic;Девочки;Осень;Белый;92;940;2400.0;18;196;19;731
155;ДЕТ-000155;Худи оверсайз бежевый;Худи;ДетиНеВыносят;Kids Factory;Premium;Унисекс;Лето;Бежевый;110;1129;3920.0;12;69;9;947
156;ДЕТ-000156;Джоггеры розовый;Штаны;ДетиПоносят;ООО Детский Мир;New;Девочки;Осень;Розовый;122;1299;4200.0;10;162;8;545
157;ДЕТ-000157;Футболка хлопковая зеленый;Футболки;ДетиНосят;Fashion Group;Premium;Мальчики;Зима;Зеленый;116;1158;3520.0;12;171;34;1121
158;ДЕТ-000158;Штаны утепленные синий;Штаны;ДетиНосят;Fashion Group;Sport;Мальчики;Осень;Синий;122;3925;9380.0;20;221;19;492
159;ДЕТ-000159;Худи утепленное серый;Худи;ДетиНеВыносят;ООО Детский Мир;New;Унисекс;Осень;Серый;110;480;1300.0;18;159;10;716
160;ДЕТ-000160;Комбинезон утепленный зеленый;Комбинезоны;ДетиПоносят;Happy Textile;New;Мальчики;Весна;Зеленый;86;404;1020.0;15;135;9;184
161;ДЕТ-000161;Куртка демисезонная белый;Куртки;ДетиНосят;Happy Textile;Sport;Девочки;Зима;Белый;104;1483;4870.0;10;103;9;436
162;ДЕТ-000162;Штаны утепленные розовый;Штаны;ДетиНеВыносят;ООО Детский Мир;Sport;Унисекс;Весна;Розовый;140;3745;9990.0;18;241;20;1075
163;ДЕТ-000163;Худи утепленное синий;Худи;ДетиПоносят;ООО Детский Мир;Sport;Мальчики;Лето;Синий;116;2047;7010.0;20;120;12;875
164;ДЕТ-000164;Джоггеры красный;Штаны;ДетиНеВыносят;Kids Factory;Casual;Мальчики;Весна;Красный;134;2846;8290.0;10;78;26;861
165;ДЕТ-000165;Худи оверсайз бежевый;Худи;ДетиНосят;Happy Textile;Sport;Мальчики;Зима;Бежевый;110;673;1920.0;15;178;10;1162
166;ДЕТ-000166;Пижама хлопковая синий;Пижамы;ДетиНосят;ООО Детский Мир;Sport;Мальчики;Весна;Синий;134;1061;2890.0;10;100;33;741
